year,est,lwr,upr,log_est,se,se_natural,type,species
2010,22249725.739866063,6916149.360382521,71578890.17478897,16.9178402402024,0.5961693824546151,16232947.927783038,index,Clupea harengus
2012,1754879921.9808834,1345813214.2597868,2288284516.7079563,21.285666270999737,0.13541166344620162,1449247205.8903167,index,Clupea harengus
2013,242802587.71094504,157687404.83609858,373860529.066399,19.3077592748809,0.22022552323257244,197529120.02815673,index,Clupea harengus
2014,1156237490.7057073,862557271.7975917,1549908833.4474633,20.868437027883267,0.14950525797676742,957717208.4815054,index,Clupea harengus
2015,435237147.28542846,304952717.2522633,621182772.4770087,19.891401606677267,0.1815004318098003,360334569.6365331,index,Clupea harengus
2016,234436071.42417142,149058729.18452388,368715551.8195936,19.272693492155913,0.2310463630333138,191702314.26013225,index,Clupea harengus
2017,928494561.2644081,696266059.0862021,1238179197.5168679,20.64907508118943,0.1468561001147021,773426229.0812786,index,Clupea harengus
2018,587589246.356908,397703726.6178241,868136502.9452218,20.191538701138242,0.1991469351776483,478395584.49793977,index,Clupea harengus
2019,1290547876.0686948,965067617.5095471,1725800130.692853,20.978332675286943,0.1482802494192717,1064363927.0937686,index,Clupea harengus
2020,1133028074.599691,753758136.5350189,1703136000.2724648,20.848159597678833,0.20795152370486736,895420188.0423044,index,Clupea harengus
2021,286758852.29086167,172646524.7963258,476294784.7585198,19.474152184607494,0.2588799261706804,228116452.83716244,index,Clupea harengus
2022,1275976900.0854118,837811053.6283809,1943298602.3525836,20.966977918323803,0.21463392267189166,997175902.845764,index,Clupea harengus
2023,319445597.8523485,191741514.25428903,532203421.7999902,19.582097544521208,0.2604327454636977,250386442.70191392,index,Clupea harengus
2024,2005781863.5580137,1315816501.7191393,3057539466.12002,21.419299778578306,0.21509403140052658,1549410394.0889268,index,Clupea harengus
1993,3558376473.601361,2623679622.089934,4826062992.322766,21.992570231048216,0.15547562512268315,3226984105.4382677,index,Crystallogobius linearis
1994,5292729306.9453335,3887342269.4867897,7206204541.463298,22.38959988680757,0.1574561315303059,4746938449.288171,index,Crystallogobius linearis
1995,6164668806.952708,4603202775.9122,8255804349.588911,22.5421002506197,0.14902421632364768,5535518481.688641,index,Crystallogobius linearis
1996,1496268217.0094903,1046180110.5952129,2139993443.3460026,21.12623998987311,0.182568973240256,1340755610.5602818,index,Crystallogobius linearis
1997,2436382229.1310983,1678727422.625868,3535987013.985137,21.61378008299551,0.19004340342072618,2171566713.00415,index,Crystallogobius linearis
1998,5589669871.548492,4211256373.1932807,7419260786.824321,22.444186065401418,0.14447163395743806,5067540052.35601,index,Crystallogobius linearis
1999,10065170163.112638,7978390083.648265,12697755982.130188,23.03234680231479,0.11854519776696372,9173193845.367912,index,Crystallogobius linearis
2000,4019867708.9275894,3040366863.6348033,5314929783.822223,22.114514830808886,0.1424877238056732,3644764591.6114864,index,Crystallogobius linearis
2001,4183358445.66845,3218522849.4543953,5437428504.791322,22.15438021678671,0.1337738193212093,3809035039.496792,index,Crystallogobius linearis
2002,2423680565.601292,1795463221.5975296,3271705826.893373,21.608553116602295,0.1530763989558905,2193274451.765869,index,Crystallogobius linearis
2003,3834075950.370966,2976819150.525234,4938203380.819856,22.06719429106874,0.12912131285575032,3503217647.343682,index,Crystallogobius linearis
2004,3576985034.145784,2831766895.317519,4518317505.462698,21.99778611330226,0.11919576927449908,3281939753.493982,index,Crystallogobius linearis
2005,12346341493.039755,9880046527.680447,15428282431.230812,23.236625620752633,0.11369727430498332,11247398314.437431,index,Crystallogobius linearis
2006,6631394136.388619,5225039690.068337,8416278306.118306,22.615080896020768,0.1216107372110404,6025989948.666585,index,Crystallogobius linearis
2007,9397623468.908005,7549653078.42577,11697931805.071177,22.963722671800788,0.11171390099697975,8570029490.603282,index,Crystallogobius linearis
2008,4284409823.067613,3074469063.034658,5970516260.092016,22.17824864860434,0.1693146355507908,3832090212.2136717,index,Crystallogobius linearis
2009,2227849338.331539,1707619258.7680228,2906568691.363384,21.524302534791204,0.1356844033042497,2032610272.5171058,index,Crystallogobius linearis
2010,589716600.7195299,409663928.61396784,848904784.8093585,20.19515264170139,0.18587328611457235,533111028.0000886,index,Crystallogobius linearis
2012,2600365826.3154883,2015307677.2702181,3355270516.2263703,21.67891797450522,0.13004333875149318,2368030154.230834,index,Crystallogobius linearis
2013,3471568603.6024013,2731583096.86907,4412016088.154756,21.967872375910314,0.12231102753191332,3183878834.961281,index,Crystallogobius linearis
2014,2691360182.569095,2110573007.5709898,3431968288.3913264,21.713312546843,0.12402637682358586,2460126579.582404,index,Crystallogobius linearis
2015,1126551504.8846724,850350445.5284326,1492465018.195241,20.84242703794956,0.1435066811585549,1030908586.4952393,index,Crystallogobius linearis
2016,2190626766.8114424,1725241311.6627438,2781550383.1436386,21.507453534719943,0.12184956873637696,2001140339.9207878,index,Crystallogobius linearis
2017,3295867027.1961656,2652840938.1515484,4094757173.2392926,21.915935104489325,0.11073578461727278,3024626159.86144,index,Crystallogobius linearis
2018,3940519254.8987665,3192667009.6246524,4863548861.004899,22.09457834215608,0.10737742437966857,3613694183.710995,index,Crystallogobius linearis
2019,2672694851.450983,2106852693.4358582,3390506508.2282853,21.706353108009605,0.121375726034468,2441334933.268533,index,Crystallogobius linearis
2020,1647845259.7389872,1140362335.322949,2381167735.845338,21.222734368235756,0.18782104379664943,1470848542.2078578,index,Crystallogobius linearis
2021,3029877636.5349274,2172783262.7206917,4225068671.0829115,21.831788071670363,0.1696527497886034,2713704006.8048935,index,Crystallogobius linearis
2022,2762543937.6610317,2024360537.3448339,3769906035.373259,21.739417808699468,0.1586243969503504,2478669296.212521,index,Crystallogobius linearis
2023,2779621129.792716,1868487080.6280358,4135053276.682646,21.74558047111419,0.20264942707239642,2458253189.1869564,index,Crystallogobius linearis
2024,3673856635.0442767,2344840301.6021547,5756137236.995029,22.024507801487587,0.22909842740274927,3204717587.7856827,index,Crystallogobius linearis
1993,1869780492.090712,1282487413.4059103,2726014346.853061,21.349086877014166,0.19236045107739747,1660363501.2613764,index,Pholis gunnellus
1994,1595023177.4418857,1079722368.5375006,2356252876.3971376,21.19015410438917,0.19907729356279233,1424462233.6560948,index,Pholis gunnellus
1995,732972484.2109562,485856601.8225076,1105776191.1541307,20.412618720552825,0.20979703884768108,651203885.8830475,index,Pholis gunnellus
1996,148147863.55356523,78551775.17992637,279405391.22398424,18.813721411046693,0.3237064018921316,129785105.98941115,index,Pholis gunnellus
1997,387524887.2605443,232188913.17842394,646781692.5043956,19.775290629883827,0.26134600160973326,342076727.72897124,index,Pholis gunnellus
1998,1994180506.4668362,1531541697.6799366,2596570435.1350813,21.413499029196775,0.13467508623609217,1811909149.597326,index,Pholis gunnellus
1999,842587755.2135929,543500148.2934836,1306262983.4877474,20.551988375257373,0.22370198704731117,753227049.303936,index,Pholis gunnellus
2000,30040365.210913036,10547619.402776947,85557082.36566152,17.218052542273426,0.5340107303661221,25425938.618043702,index,Pholis gunnellus
2001,701242398.451532,518232237.8684527,948881342.0960535,20.368364174744613,0.15430392687080083,640556351.961186,index,Pholis gunnellus
2002,354432298.9138818,212747284.4890533,590476418.1365745,19.68602790943267,0.2604192485072059,310888322.5415227,index,Pholis gunnellus
2003,554478346.3285348,386764481.0813204,794918488.0877995,20.133538313187024,0.18378491967662924,504365900.3587931,index,Pholis gunnellus
2004,1508530264.0257587,1149869566.5930939,1979062342.0220613,21.134401678692775,0.13851648719010543,1366765977.1672945,index,Pholis gunnellus
2005,3239445371.8847985,2137581839.0553405,4909288676.434233,21.898667970580384,0.21210947167396027,2868256273.2338696,index,Pholis gunnellus
2006,1608841833.6149864,1217884469.1316166,2125301792.7350724,21.19878039907755,0.14204304388648978,1462220628.0608232,index,Pholis gunnellus
2007,810578976.3931017,577930033.0960087,1136882043.403583,20.513259335963646,0.1726031546137982,739047892.8799835,index,Pholis gunnellus
2008,250253296.27121052,156260343.85965127,400784426.475191,19.337984147985786,0.24028508003677393,223595985.13448042,index,Pholis gunnellus
2009,1111184177.5616572,845425594.6733893,1460483671.4700909,20.828692110247648,0.13946245519928463,1014917999.1140795,index,Pholis gunnellus
2010,693301509.7027558,486859578.4626119,987280531.4295247,20.356975541470938,0.1803549681028835,622006849.7577373,index,Pholis gunnellus
2012,435166917.05794895,312502031.83537114,605980846.2348889,19.89124023282687,0.16894121853560118,400332655.9614076,index,Pholis gunnellus
2013,812943060.4454993,622046598.4900327,1062422688.4781889,20.516171628707024,0.13655662335345592,752022412.2941111,index,Pholis gunnellus
2014,199796890.1140418,123827220.31019191,322374976.99814606,19.112811859062806,0.24409330759412487,179376049.91590062,index,Pholis gunnellus
2015,348817912.3803119,242627346.9553971,501484838.88638586,19.670060602981863,0.18521938834502585,317426449.7064467,index,Pholis gunnellus
2016,400582466.3223698,266003841.8459216,603248100.5212711,19.80843021169686,0.20888593119810786,361540683.9406098,index,Pholis gunnellus
2017,361999350.40426815,249666506.01566902,524874288.44335157,19.707152975325087,0.18955264938760305,330418485.28718376,index,Pholis gunnellus
2018,577584871.8492185,360950981.03442395,924237089.571069,20.174365953803107,0.23985809792538407,507407495.5065358,index,Pholis gunnellus
2019,794684864.958693,542220886.7908622,1164698833.9606273,20.49345619775446,0.19504041103982622,711998362.0685964,index,Pholis gunnellus
2020,427215860.3344072,265913892.84958565,686362752.1127919,19.87279997117205,0.24190080616959225,377009327.1903063,index,Pholis gunnellus
2021,564408523.8043098,346969836.113335,918111456.9247617,20.151288880246167,0.24823949704101952,495899698.10376966,index,Pholis gunnellus
2022,511838795.3007755,324149953.44263643,808202961.6003326,20.05352028049902,0.23306729008595542,455086580.5659106,index,Pholis gunnellus
2023,1062035428.3672479,726234118.020382,1553106943.2289479,20.783453119254215,0.1939168907364635,937728484.9949881,index,Pholis gunnellus
2024,156251159.0352636,84887075.2435146,287610624.23020136,18.86697526437896,0.31130309768841125,138219228.4768296,index,Pholis gunnellus
1993,382789900.11954534,249499994.50153738,587287017.4858018,19.76299683297229,0.21838533015432698,332150446.8698728,index,Pomatoschistus sp
1994,1159838186.7094817,790687792.6850574,1701334751.5855293,20.8715463381185,0.19547940310956152,998394900.0309627,index,Pomatoschistus sp
1995,1991652810.223723,1456160080.8810546,2724069261.7201853,21.41223068886183,0.159779447476904,1745341274.1073813,index,Pomatoschistus sp
1996,204021770.90681192,117917960.57118832,352998667.90710294,19.133737266245735,0.27971818836206924,175582473.0018951,index,Pomatoschistus sp
1997,758203313.5522631,519508338.5020374,1106569850.90794,20.44646213132483,0.19289574447170268,659466057.2565778,index,Pomatoschistus sp
1998,1200304622.6625671,892158822.4001044,1614881959.368227,20.90584121374415,0.15137343817101565,1055704945.9000349,index,Pomatoschistus sp
1999,656440733.55812,469731039.52891654,917364194.4259812,20.30234297125439,0.17075422882688573,574567070.2335287,index,Pomatoschistus sp
2000,331646491.00267327,211969390.74013057,518892820.3753291,19.61958017345675,0.2283856938580699,287677033.7177195,index,Pomatoschistus sp
2001,425650608.33742636,302409020.5023927,599117182.6720945,19.86912939948967,0.1744105354269831,378529727.6730291,index,Pomatoschistus sp
2002,584229306.9672375,389044767.2124248,877338321.6668468,20.18580411264259,0.2074523501861763,503889373.9784107,index,Pomatoschistus sp
2003,279857532.4474441,182513887.0906938,429119338.34740853,19.449791218956722,0.2180929856818527,242017192.34110585,index,Pomatoschistus sp
2004,336882357.8783333,226550255.64345664,500947230.1292615,19.63524434095735,0.20243585422519417,295085836.540793,index,Pomatoschistus sp
2005,260715720.23020387,153853387.01017565,441801692.48180634,19.378941177163252,0.26910214004838556,221247745.89456856,index,Pomatoschistus sp
2006,258817695.47747618,158656588.10517088,422211269.58728915,19.371634493359718,0.24968922697323928,221521649.65472305,index,Pomatoschistus sp
2007,411523512.2970091,275705738.16171175,614247647.8815104,19.83537671447341,0.2043568294067836,354860415.4323282,index,Pomatoschistus sp
2008,165854777.02143517,96889238.85833168,283909827.1899006,18.926623126207136,0.27426223841191355,142160907.47461596,index,Pomatoschistus sp
