year,est_x,lwr_x,upr_x,se_x,est_y,lwr_y,upr_y,se_y,type,species
2003,611.8383183104526,594.26474835283625,629.4118882680689,8.966271878582644,6369.942919163784,6346.654718537268,6393.231119790299,11.881953347209457,cog,Ammodytidae
2004,590.7956272913435,569.5438102768985,612.0474443057885,10.84296302487019,6368.3397769115,6348.124989056665,6388.554564766335,10.31385679241365,cog,Ammodytidae
2005,617.3853771635652,596.0896598693398,638.6810944577906,10.865361538376842,6343.434946647652,6315.016995637956,6371.852897657349,14.499221023372487,cog,Ammodytidae
2006,607.6260250057728,586.6778409120459,628.5742090994997,10.688045422754442,6362.560474341639,6338.754749800386,6386.366198882892,12.146001012788657,cog,Ammodytidae
2007,583.8460308144815,561.502669626437,606.1893920025261,11.399883551068376,6381.5709896480375,6354.332537993346,6408.809441302729,13.897424580015441,cog,Ammodytidae
2008,598.4025843848927,580.4295969652164,616.3755718045691,9.1700600426564,6369.924495304821,6348.278184764381,6391.570805845261,11.044238930502587,cog,Ammodytidae
2009,598.0914316546298,577.4412311514762,618.7416321577833,10.536010184901176,6375.809796001366,6352.554866483036,6399.0647255196955,11.864977980086175,cog,Ammodytidae
2010,602.8725443134938,581.0876003837905,624.6574882431971,11.11497155128367,6370.642356973019,6342.090144340083,6399.194569605955,14.567723110298232,cog,Ammodytidae
2012,617.9312733698316,598.5302611947209,637.3322855449424,9.898657489700566,6343.515925956509,6315.892450672593,6371.139401240424,14.093868816879079,cog,Ammodytidae
2013,615.5432135675924,598.2809350130455,632.8054921221393,8.807446815711716,6352.643127558253,6333.9627683554,6371.323486761105,9.530970645481826,cog,Ammodytidae
